Change Component DesignItemId : Designator=DA4 Old DesignItemId=HCPL0661 New DesignItemId=MOCD213M
Change Component Footprint: Designator=DA4 Old Footprint=SO8N_MS012AA-II New Footprint=SO-8
Change Component Comment : Designator=R20 Old Comment=1ê New Comment=10ê
Change Component Comment : Designator=R21 Old Comment=1ê New Comment=10ê
Change Component Comment : Designator=R22 Old Comment=1ê New Comment=10ê
Change Component Comment : Designator=R6 Old Comment=68 New Comment=330
Change Component Comment : Designator=R7 Old Comment=68 New Comment=330
Change Component Comment : Designator=R8 Old Comment=68 New Comment=330
Change Component Comment : Designator=R9 Old Comment=68 New Comment=330
Change Component Comment : Designator=R13 Old Comment=68 New Comment=330
Change Component Comment : Designator=R16 Old Comment=68 New Comment=330
Change Component Comment : Designator=R17 Old Comment=68 New Comment=330
Change Component Comment : Designator=R27 Old Comment=68 New Comment=330
Change Component Comment : Designator=R28 Old Comment=130 New Comment=10ê
Change Component Comment : Designator=DA4 Old Comment=HCPL0661 New Comment=MOCD213M
